852	J'ai Lu	282664
854	Routledge Revivals	\N
855	Night Fall	\N
856	Golden Griffon Space Mystery	\N
857	Earthling Halloween Series	\N
858	The Blackwell Philosophy and Pop Culture Series	\N
859	Wesleyan Early Classics of Science Fiction	\N
860	The "Unknown" Library	\N
861	Cross-Cultural Communications	\N
862	Shorts	\N
863	Fantastica	270075
865	Firefly Plus	\N
866	Virago Modern Classics	\N
867	Psychic Sleuths	\N
868	Momentum 6	\N
869	Masters of Science Fiction and Fantasy	\N
871	An Ariel Book	\N
872	Studies in the Human Dimensions of Science and Technology	\N
873	The Pegasus Library	\N
874	Meisterwerke der Science Fiction	\N
876	Colección Popular. Narradores latinoamericanos	\N
877	The Texas Pan American Series	\N
878	Novels of Tomorrow	\N
880	Zürcher Filmstudien	\N
881	Emblem Editions	\N
887	Texts and Contexts	\N
888	Shades	\N
889	Graphic Shades	\N
890	Shades Shorts	\N
892	Conan Classics	\N
894	The Weird Works of Robert E. Howard	\N
895	Luitingh SF Verhalen	503768
896	H Supernatural	\N
898	The Robert E. Howard Library	\N
901	A+	\N
902	Wordsworth Classics	\N
903	Unpleasant Nightmares	\N
907	Dover Children's Thrift Classics	\N
908	Studies in Fiction, Media and a Contemporary Cultural Experience	\N
909	Nelsonian Library	\N
911	Library of American Fiction	\N
912	The Annotated H. G. Wells	\N
913	Loveswept	\N
916	Science Fiction & Fantastica	\N
917	The Townsend Library	\N
918	Columbia Publications Science Fiction Classics	\N
919	Obverse Quarterly	\N
920	Novacon	274057
921	Harlequin Historical	\N
922	Harlequin Blaze	\N
925	Temptation	\N
927	Cascades	\N
929	The Polaris Fantasy Library	\N
930	Scribner Student Paperbacks	\N
931	Hudson River Editions	\N
933	Point Signature	\N
934	Bloomsbury Quid	\N
935	Windermere	274582
936	Baker's Dozen	\N
937	The American Ghosts Series	\N
939	RP Teens	\N
942	An Analog Book	\N
943	Stanza	\N
944	PS Artbooks	\N
948	Allure	\N
951	Vintage Departures	\N
953	Roaring Good Reads	\N
954	Teen Tracks	\N
957	The Ferret Chronicles	\N
961	The Bluebird Books	\N
964	M=SF	287150
966	Scarecrow Studies in Young Adult Literature	\N
967	Oxford Twelve	\N
968	Regency Suspense	\N
969	Leisure Book	\N
970	Nightstand Book	\N
971	Evening Reader	\N
972	Avon Murder Mystery Monthly	\N
973	Avon Monthly Novel	\N
974	LoveXtreme Forever	\N
975	Creation Classics	\N
976	Siren Publishing Menage Amour	\N
977	Siren Publishing Menage Amour ManLove	\N
978	Enseignement & Science-Fiction	\N
980	Walt Disney Book and Record	\N
982	Junior Edition	\N
985	Little Golden Book Classic	\N
986	Blackwell Companions to Literature and Culture	\N
987	Blackwell Guides to Literature	\N
990	Born SF	\N
991	Le Masque	\N
992	Bison Books	\N
993	In the Picture Fantasies	\N
994	Collection les Amis des Jeunes	\N
995	Meulenhoff Editie	\N
996	Modern Library Classics	\N
997	The Complete Works of F. Marion Crawford	\N
999	Literaire Reuzenpocket	\N
1000	Variant	\N
1001	Storm Glider	\N
1002	Jesters	\N
1003	A Little Golden Book	\N
1004	Bruna FEH	317930
1006	The Complete Wizard of Oz First Edition Library	\N
1008	Der Weltraumfahrer	\N
1011	Novelas y Cuentos	\N
1012	Kramers Pockets van Formaat	\N
1013	Grote ABC	\N
1015	World Junior Library	\N
1019	Collection Folio Classique	\N
1020	Signed First Edition Society	\N
1021	John Pelan Presents Classics of SF and Fantasy	\N
1023	Fleuve Noir - Anticipation	\N
1024	New Bizarro Author Series	\N
1025	ABC	\N
1026	Void	279377
1027	Ripper	\N
1028	Bristol Library	\N
1029	Hotshots	\N
1030	Penguin Academics	\N
1031	Definitions	\N
1032	Oxford Children's Modern Classics	\N
1033	Collector's Library	\N
1034	Heartfire Romance	\N
1035	Encounter	\N
1036	MirrorDanse	\N
1037	Club du Livre d'Anticipation	\N
1038	Modern Library 20th Century Rediscovery	\N
1039	Five Star First Edition Science Fiction and Fantasy	\N
1040	New York Review Children's Collection	\N
1041	Solaria	\N
1044	König Taschenbücher	\N
1045	Mills & Boon Special Releases	\N
1046	Puffin Modern Classics	\N
1047	The Stellar Guild	280043
1048	Bibliographies and Indexes in American Literature	\N
1049	Oxford Bookworms Library	\N
