369	Best Publisher - Paperback (old)	28	\N	\N
370	Best Publisher/Imprint	28	\N	\N
371	Best Reference Book	28	\N	\N
372	Best Related Non-Fiction Book	28	\N	\N
373	Best Reprint Anthology (old)	28	\N	\N
374	Best Reprint Anthology/Collection (old)	28	\N	\N
375	Best SF Novel	28	5	\N
376	Best SF/Fantasy Author of the 90's	28	\N	\N
377	Best Short Fiction	28	22	\N
378	Best Short Story	28	25	\N
379	Best Single Author Collection	28	\N	\N
380	Best Single Fanzine Issue (old)	28	\N	\N
381	Best Web Site	28	\N	\N
382	Best Young Adult Book	28	\N	\N
383	Best Young Adult Novel	28	14	\N
384	Collection	28	\N	\N
385	Fantasy Novel	28	7	\N
386	First Novel	28	12	\N
387	Nonfiction/Art Book	28	\N	\N
388	Novelette	28	19	\N
389	Novella	28	15	\N
622	Best SF	62	1	\N
391	Short Story	28	24	\N
624	Special Services Award	62	3	482315
623	Special Award	62	2	\N
394	Gay Men's Mystery/Science Fiction	29	\N	\N
395	Gay Men's Science Fiction/Fantasy	29	\N	\N
396	Lesbian and Gay Science Fiction, Fantasy and Horror	29	\N	\N
397	Lesbian Mystery/Science Fiction	29	\N	\N
398	Lesbian Science Fiction/Fantasy	29	\N	\N
399	Pioneer Award	29	\N	\N
400	Mythopoeic Fantasy Award	30	\N	\N
401	Mythopoeic Fantasy Award for Adult Literature	30	\N	\N
402	Mythopoeic Fantasy Award for Children's Literature	30	\N	\N
403	Mythopoeic Scholarship Award (for Inkling Studies)	30	\N	\N
404	Mythopoeic Scholarship Award (for Myth and Fantasy Studies)	30	\N	\N
410	Dramatic Presentation	31	\N	\N
412	Grand Master Award	31	1	396133
413	Novel	31	2	\N
414	Novelette	31	19	\N
415	Novella	31	15	\N
416	Script	31	\N	\N
417	SFWA President's Lifetime Achievement Award	31	\N	\N
418	Short Story	31	24	\N
419	Solstice Award	31	\N	\N
420	Special Author Emeritus	31	\N	\N
421	Special Award (Not a Nebula)	31	\N	\N
422	Special Service	31	\N	\N
423	Finalists	32	5	\N
424	Special Citation	32	3	\N
425	Winner	32	1	\N
426	Prometheus Hall of Fame Award	33	10	\N
