1387	Doom	\N	\N
1391	Dark Sun	\N	\N
1392	Chronicles of Athas	1391	\N
1393	Deathlands	\N	\N
1396	The Mayflower Trilogy	\N	\N
1397	Lord Darcy	\N	\N
1400	Hunted Earth	\N	\N
1401	Young Jedi Knights	207	\N
1402	Forgotten Realms Universe	\N	\N
1403	Forgotten Realms: The Harpers	1402	\N
1404	Chubby Lewis Barnavelt	\N	\N
1406	Space Precinct	\N	\N
1409	World of Darkness	\N	\N
1410	Diadem Universe	\N	\N
1411	Shadowsong	1410	\N
1412	Both Sides of Time	\N	\N
1413	The Unicorn Chronicles	\N	\N
1414	Forgotten Realms	1402	\N
1415	Elenium	988	\N
1420	Cybersurfers	\N	\N
1421	Star Wars Trilogy	207	\N
1422	The Ivory Carver Trilogy	\N	\N
1424	Deverry Cycle	\N	\N
1425	Westlands	1424	\N
1426	Tower to the Sky	\N	\N
1427	Isaac Asimov's Robot City: Robots and Aliens	3581	\N
1429	Firelord	\N	\N
1432	Sherwood	24728	\N
1434	Snake Oil	\N	\N
1436	Masters of Solitude	\N	\N
1438	A Cold Blue Light	\N	\N
1440	Jeb Stuart Ho	\N	\N
1444	The Song of Phaid the Gambler	\N	\N
1446	Nick of Time	\N	\N
1449	Planet of the Apes	\N	\N
1453	Central Control	\N	\N
1455	Moon Singer / Free Trader / Moon Magic	\N	\N
1459	Jern Murdoc	\N	\N
1461	Star Ka'at	\N	\N
1465	High Hallack	1154	\N
1471	Witch World: The Turning	1154	\N
1474	Lafayette O'Leary	\N	\N
1478	Retief	\N	\N
1485	Bolo	\N	\N
1486	Time Trap	\N	\N
1488	The Avengers (British TV series)	\N	\N
1491	Chronoplane Wars	\N	\N
1494	Icequake	\N	\N
1496	Agent of Change	26774	\N
1499	Terro-Human	\N	\N
1500	Federation	1499	\N
1503	Fuzzy	1499	\N
1507	Paratime Police	\N	\N
1508	Diadem	1410	\N
1517	Shadith's Quest	1410	\N
1520	Swardheld's Adventures	1410	\N
1523	The Mothersource Cycle	\N	\N
1527	Inquestor	\N	\N
1531	Norby Chronicles	\N	\N
1541	Wolves Chronicles	\N	\N
1542	Finisterre	\N	\N
1543	Nightrunners	32585	\N
1544	Genellan	\N	\N
1548	Mistworld Universe	\N	\N
1549	Deathstalker	1548	\N
1552	The Hammer and the Cross	\N	\N
1553	Afterimage	\N	\N
1555	The Song of Earth	\N	\N
1559	Redwall	12336	\N
1561	Desperation/Regulators	\N	\N
1566	Ofelia	\N	\N
1568	Hostile Takeover	26607	\N
1570	Otherland	\N	\N
1573	Chung Kuo (original)	32596	\N
1581	Kyyra	\N	\N
1583	Spaceways	\N	\N
1603	Incomplete Enchanter	\N	\N
1606	Viagens Interplanetarias	\N	\N
1615	Novaria	\N	\N
1626	New Magic	\N	\N
1628	Interstellar Empire	\N	\N
1631	Zarathustra Refugee Planets	\N	\N
1635	Neweden / Hoorka	\N	\N
1639	Dr. Bones	\N	\N
1641	LaNague Federation	\N	\N
1648	Gandalara	\N	\N
1655	Dracon	28054	\N
1657	Circus World	28054	\N
1660	Rabelais	\N	\N
1663	Makers	\N	\N
1666	Castle Of Dark	\N	\N
1670	Alien	1277	\N
1673	Humanx Commonwealth	226	\N
1681	Icerigger Trilogy	226	\N
1687	The Damned	\N	\N
1690	Spellsinger	\N	\N
