217	Brain in a Pocket	1986-00-00	An	1	8	\N
218	Relics	1986-00-00	An	1	8	\N
219	To Fit the Crime	1986-00-00	An	1	8	\N
220	The Love Song of Laura Morrison	1987-00-00	An	1	8	\N
221	The Grand Tour	1987-00-00	An	1	8	\N
222	Neither Rain nor Sleet nor Weirdness	1987-00-00	An	1	8	\N
223	Mortality	1987-00-00	An	1	8	\N
224	Independents	1987-00-00	An	1	8	\N
225	The Circus Horse	1988-00-00	An	1	8	\N
226	Frame of Reference	1988-00-00	An	1	8	\N
227	Siren	1988-00-00	An	1	8	\N
228	If You Wish Upon a Star...	1988-00-00	An	1	8	\N
229	User Friendly	1988-00-00	An	1	8	\N
230	The Happy Dead	1989-00-00	An	1	8	\N
231	Soul of the City	1989-00-00	An	1	8	\N
232	The Best Is Yet to Be	1989-00-00	An	1	8	\N
233	Little Monsters	1989-00-00	An	1	8	\N
234	Gridlock	1989-00-00	An	1	8	\N
235	VRM-547	1990-00-00	An	1	8	\N
236	To Victor Go the Spoils	1990-00-00	An	1	8	\N
237	Godspeed	1990-00-00	An	1	8	\N
238	To Tame a Tiger	1990-00-00	An	1	8	\N
239	Look Closer	1990-00-00	An	1	8	\N
240	The Double Spiral Staircase	1990-00-00	An	1	8	\N
241	The Feeders	1990-00-00	An	1	8	\N
242	The Cold Solution	1991-00-00	An	1	8	\N
243	A Roll of Round Dice	1991-00-00	An	1	8	\N
244	Enemy of the State	1991-00-00	An	1	8	\N
245	Business As Usual	1991-00-00	An	1	8	\N
246	Driven By Moonlight	1991-00-00	An	1	8	\N
247	Love, Dad	1992-00-00	An	1	8	\N
248	Stranger Things	1992-00-00	An	1	8	\N
249	Bushido	1992-00-00	An	1	8	\N
250	Steelcollar Worker	1992-00-00	An	1	8	\N
251	Change of Life	1992-00-00	An	1	8	\N
252	White Room	1993-00-00	An	1	8	\N
253	Puff	1993-00-00	An	1	8	\N
254	Spcpt. Vu	1993-00-00	An	1	8	\N
255	Defend with the Utmost Endeavor	1993-00-00	An	1	8	\N
256	From the Corner of the Eye	1993-00-00	An	1	8	\N
257	Jake's Gift	1993-00-00	An	1	8	\N
258	Bubba Pritchert and the Space Aliens	1994-00-00	An	1	8	\N
259	His Father's Voice	1994-00-00	An	1	8	\N
260	Negative Feedback	1994-00-00	An	1	8	\N
261	Persistence	1994-00-00	An	1	8	\N
262	The Pandora Probe	1994-00-00	An	1	8	\N
263	TeleAbsence	1995-00-00	An	1	8	\N
264	Walking the Virtch	1995-00-00	An	1	8	\N
265	Kath in Winter	1995-00-00	An	1	8	\N
266	The Dream of Houses	1995-00-00	An	1	8	\N
267	The Void	1995-00-00	An	1	8	\N
268	Living It Is the Best Revenge	1996-00-00	An	1	8	\N
